Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,Starting a business - Score,IC.REG.STRT.BUS.DFRN,63.7,72.4,71.7,72,72.4,71.1,72.1,71.7,72.2,72.6,71.6,72.4,73.3,73.5,73.6,82,80.4
Argentina,ARG,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,13.5,17.3,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5
Argentina,ARG,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,13.5,17.3,15.9,15.4,13.6,12.8,16.1,20.7,17.7,15.4,23.2,17.7,11.4,10.8,10.4,5.3,5
Argentina,ARG,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,11,12
Argentina,ARG,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,11,12
Armenia,ARM,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,31.3,31.3,37.5,68.8,68.8,68.8,68.8,75,75,75,..,..,..,..,..,..
Armenia,ARM,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,60,60,60,70,70,70,70
Armenia,ARM,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,71.7,76.3,79.4,84.8,90.8,87.7
Armenia,ARM,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,56.5,56.3,56.4,62.6,70.6,70.6,..,..,..,..,..
Armenia,ARM,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,238.5,278.9,257.8,107.3,98.9,92.6,87.3,80.3,78.9,70.3,67.6
Armenia,ARM,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),IC.ELC.PRI.KH.DB1619,..,..,..,..,..,..,..,..,..,..,..,8,8.3,9.1,8,7.6,7.7
Armenia,ARM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,..,..,..,..,..,..,..,..,..,..,..,..,69.1,70.6,71.5,73.2,74.5
Armenia,ARM,Global: Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB16,..,..,..,..,..,..,..,..,..,..,65.5,66.8,..,..,..,..,..
Armenia,ARM,Global: Ease of doing business score (DB10-14 methodology),IC.BUS.EASE.DFRN.DB1014,..,..,..,..,..,..,61.1,61.7,64.3,68.2,69.6,..,..,..,..,..,..
Armenia,ARM,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),IC.ELC.OUTG.FREQ.DURS.03.DB1619,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,1
Armenia,ARM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47
Armenia,ARM,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48
Armenia,ARM,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
Armenia,ARM,Starting a business - Score,IC.REG.STRT.BUS.DFRN,81,81.2,81.3,83.2,83.3,83.5,88.9,88.9,93.3,93.4,94.3,94.3,94.3,94.3,94.3,96.1,96.1
Armenia,ARM,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8
Armenia,ARM,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,8.4,7,6.1,5.1,4.8,3.6,2.6,3.1,2.9,2.5,1.1,1,1,0.9,0.9,0.8,0.8
Armenia,ARM,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,10,10,10,9,9,9,6,6,4,4,4,4,4,4,4,3,3
Armenia,ARM,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,10,10,10,9,9,9,6,6,4,4,4,4,4,4,4,3,3
Australia,AUS,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,93.8,93.8,..,..,..,..,..,..
Australia,AUS,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,90,90,90,90,90,90,95
Australia,AUS,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,82.3,82.3,82.3,82.3,82.3,82.3
Australia,AUS,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,80.6,80.6,80.6,80.6,80.6,80.6,..,..,..,..,..
Australia,AUS,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,15.9,14.3,13.3,12.6,12.7,12.5,12.2,12.6,12.4,12.5,12.1
